Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
TDFX,GBPUSD,0.0,40007455.0,0,7.0
TDFX,NZDUSD,0.0,19540517.0,0,7.0
TDFX,USDBRL,0.0,11710000.0,0,7.0
TDFX,USDCHF,0.0,299110514.0,0,2.0
TDFX,USDCLP,0.0,19906794.0,0,2.0
TDFX,USDCOP,0.0,16887343.0,0,1.0
TDFX,USDKRW,0.0,4480000.0,0,10.0
TDFX,USDSEK,0.0,827848.0,0,7.0
TDFX,USDZAR,0.0,351946.0,0,12.0
UBSL,AUDUSD,501695103.0,21917388.0,1.0,13.0
UBSL,EURCZK,37291453.0,5001139.0,1.0,1.0
UBSL,EURGBP,18445297.0,0.0,1.0,0
UBSL,EURHUF,54081252.0,8514519.0,1.0,1.0
UBSL,EURNOK,105582011.0,11966729.0,2.0,3.0
